AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,dem_mean,PctCarbKarstH8,PctVolcKarstH8,PctUnconsH8,AquiRichH8,PctMarWetMeaH8,MeanSBDH8_rev,hydroSumW,hydroCompositeStd,PctChange_Bio13_MEAN_H8,PctChange_Bio19_MEAN_H8,MeanJunFloPctCh2040,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
37238.169999999998254,150.700000000000017,"AZ,NM",1.504E+11,Moore Canyon-Gila Wash,1.504E+11,-1.226749657,-0.822981045,-0.518183152,1.170418403953600,-1.423259393,-0.760469343,-0.339643361,-0.636249425,0.087731403,1.585447113224920,-0.430482935,0.273731946,0.272768658,0.082843562,0.794455151,-0.561231912,-0.732499269,0.094207861,0.509414294,0.597145697,0.298572849,0.509414294,0.087731403,61331.170340215925535,142796208.797002434730530,1,3
39082.480000000003201,158.159999999999997,"AZ,NM",1.504E+11,Apache Creek,1.504E+11,-0.337656646,-0.822981045,-0.518183152,1.170418403953600,-1.423259393,-0.760469343,-0.339643361,-0.559476724,0.108137778,1.585447113224920,-0.430482935,0.245699123,0.272768658,0.082843562,0.794455151,-0.561231912,-0.732499269,0.092480706,0.50871966,0.616857438,0.308428719,0.50871966,0.108137778,50900.151857945980737,87781718.895773813128471,1,3
20933.770000000000437,84.719999999999999,"AZ,NM",1.504E+11,Trout Creek,1.504E+11,1.247845005464770,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.235605317,0.194223602,1.493802124713760,0.777947358,-0.188015375,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.879014258,0.825050757,1.019274358464570,0.509637179,0.825050757,0.194223602,49985.751475076380302,53314268.940560556948185,2,5
35768.230000000003201,144.750000000000000,"AZ,NM",1.504E+11,Stone Creek-San Francisco River,1.504E+11,0.789053073,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.275221753,0.183693455,1.493802124713760,0.777947358,0.086198838,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.895909111,0.831845594,1.015539048746030,0.507769524,0.831845594,0.183693455,59582.617502830842568,98792887.225224182009697,2,5
25046.959999999999127,101.359999999999999,"AZ,NM",1.504E+11,Dry Blue Creek,1.504E+11,0.70962764,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.282080096,0.18187049,1.493802124713760,0.777947358,0.144116686,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.899477539,0.833280758,1.015151247994030,0.507575624,0.833280758,0.18187049,45128.512807581784728,77901740.476261332631111,2,5
34221.160000000003492,138.490000000000009,"AZ,NM",1.504E+11,Campbell Blue Creek,1.504E+11,0.284393426,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.318798841,0.172110557,1.493802124713760,0.777947358,0.105787415,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.897116,0.832330985,1.004441541849630,0.502220771,0.832330985,0.172110557,9890.187791128764729,2611217.487498464062810,2,5
17311.420000000001892,70.060000000000002,"AZ,NM",1.504E+11,Centerfire Creek-Blue River,1.504E+11,0.870255591,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.268209959,0.185557207,1.493802124713760,0.777947358,0.111365114,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.897459653,0.832469197,1.018026403662040,0.509013202,0.832469197,0.185557207,22036.163459711919131,9989885.912608649581671,2,5
37761.129999999997381,152.810000000000002,"AZ,NM",1.504E+11,Steeple Canyon-Blue River,1.504E+11,0.80849104,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.273543295,0.184139593,1.493802124713760,0.777947358,0.104305521,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.897024698,0.832294265,1.016433858013880,0.508216929,0.832294265,0.184139593,43706.888446183183987,23010659.691667459905148,2,5
21552.560000000001310,87.219999999999999,"AZ,NM",1.504E+11,Upper Pueblo Creek,1.504E+11,0.46314669,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.303363593,0.176213284,1.493802124713760,0.777947358,0.124876478,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.898292113,0.832803999,1.009017282729850,0.504508641,0.832803999,0.176213284,53046.931932693085400,87404201.529554456472397,2,5
29506.279999999998836,119.409999999999997,"AZ,NM",1.504E+11,Lower Pueblo Creek,1.504E+11,-0.054226672,-0.83667115,-0.487162589,-0.332218396,-1.423259393,-0.156632284,0.436890678,-0.348038503,0.164338582,1.493802124713760,0.777947358,0.131794817,1.522024547182060,0.583817434,1.235601736250050,0.350299819,1.274827080751500,0.898718365,0.83297543,0.997314012,0.498657006,0.83297543,0.164338582,48841.386856205179356,113098777.534476444125175,2,5
