AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctCarbKarstH8,PctVolcKarstH8,AquiRichH8,vrm_mean,MeanSBDH8_rev,hli_mean_rev,hydroSumW,hydroCompositeStd,PctChange_Bio19_MEAN_H8,MeanDifSWEH8,Diff_bio8_rev,Diff_bio9_rev,MeanDifPNVH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
33079.470000000001164,133.870000000000005,"AZ,NM",1.504E+11,Upper Railroad Wash,1.504E+11,-0.699928333,-0.403212306,-1.161980525,-0.680828087,0.025782324,-1.06056301,-0.454046077,0.197190679,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.720596467,0.360298234,0.523405788,0.197190679,55024.978095211488835,124471926.119127467274666,2,4
23318.740000000001601,94.370000000000005,"AZ,NM",1.504E+11,Lower Railroad Wash,1.504E+11,-0.699928333,-0.403212306,-1.161980525,-0.568481676,0.025782324,-1.002811571,-0.436535565,0.203455578,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.726861366,0.363430683,0.523405788,0.203455578,17338.771415627779788,15577444.594767274335027,2,4
37238.169999999998254,150.700000000000017,"AZ,NM",1.504E+11,Moore Canyon-Gila Wash,1.504E+11,-0.699928333,-0.403212306,-1.161980525,0.386751541,0.025782324,-1.838377673,-0.399784812,0.216604237,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.740010025,0.370005013,0.523405788,0.216604237,61331.170340215925535,142796208.797002434730530,2,4
23344.600000000002183,94.469999999999999,"AZ,NM",1.504E+11,Rainville Wash-Gila River,1.504E+11,-0.699928333,-0.403212306,-1.161980525,0.383747495,0.025782324,-2.530146971,-0.458595649,0.195562936,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.718968725,0.359484362,0.523405788,0.195562936,37671.237905984482495,27975421.278006363660097,2,4
39151.639999999999418,158.439999999999998,"AZ,NM",1.504E+11,Woods Canyon-Gila River,1.504E+11,-0.699928333,-0.403212306,-1.161980525,0.062104967,0.025782324,-2.424922575,-0.485857471,0.18580922,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.709215009,0.354607504,0.523405788,0.18580922,17981.010128395369975,8484062.635163607075810,1,4
7919.640000000000327,32.049999999999997,"AZ,NM",1.504E+11,Goat Camp Canyon,1.504E+11,-0.699928333,-0.403212306,-1.161980525,0.566616543,0.025782324,-3.127894721,-0.488564972,0.184840533,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.708246321,0.35412316,0.523405788,0.184840533,14709.928808247879715,10067516.529835710301995,1,4
11050.690000000000509,44.719999999999999,"AZ,NM",1.504E+11,Sanders Wash,1.504E+11,-0.699928333,-0.403212306,-1.161980525,0.972019606,0.025782324,-3.004488043,-0.432562067,0.204877213,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.728283002,0.364141501,0.523405788,0.204877213,18013.141111992248625,12247412.664858315140009,2,4
14011.670000000000073,56.700000000000003,"AZ,NM",1.504E+11,Bitter Creek,1.504E+11,-0.699928333,-0.403212306,-1.161980525,2.125563858489510,0.025782324,-2.266196654,-0.240485623,0.273598191,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.797003979,0.39850199,0.523405788,0.273598191,29312.309464470956300,33447358.888807572424412,2,4
39082.480000000003201,158.159999999999997,"AZ,NM",1.504E+11,Apache Creek,1.504E+11,-0.699928333,-0.403212306,-1.161980525,2.312906201433030,0.025782324,-2.491394474,-0.23846159,0.274322348,-0.245363987,0.154893177,0.254053803,0.821242756,-0.34761163,0.11081842,0.523405788,0.797728136,0.398864068,0.523405788,0.274322348,50900.151857945980737,87781718.895773813128471,2,4
14489.020000000000437,58.640000000000001,"AZ,NM",1.504E+11,Whitmire Creek,1.504E+11,-0.688599357,-0.223782531,-0.111722521,0.613357794,-0.948850847,-1.477798378,-0.53347656,0.168772096,-1.114115515,0.105435996,0.288575649,1.188038164903620,-1.289377412,-0.162382705,0.432630459,0.601402555,0.300701277,0.432630459,0.168772096,47166.911931808244844,57651328.643827728927135,1,2
