AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,PctSlowInfsH12,cti_mean,aspect_sh3_mean,geomorph_sh3_std,HLI_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN,PctChg_Bio14_MEAN,MeanDifSMCH12,Back_rcp45_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifETH12_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
33079.470000000001164,133.870000000000005,"AZ,NM",1.504E+11,Upper Railroad Wash,1.504E+11,0.12214159,0.536612308,0.007938359,1.995040238919510,-1.036272456,0.720140257,0.491664267,1.470682644961540,-1.245899438,-0.239432011,0.172319728,0.496587618,0.532267893,0.620353138,0.195827943,0.410067791,0.901732058,0.450866029,0.410067791,0.491664267,55024.978095211488835,124471926.119127467274666,5,4
23318.740000000001601,94.370000000000005,"AZ,NM",1.504E+11,Lower Railroad Wash,1.504E+11,1.329266761988680,0.99786102,-0.142565273,3.495944549725140,-0.978598876,1.477138467657930,0.627158859,1.463704011024480,-0.928320936,-0.256022553,0.23525066,0.472567183,0.304873012,0.601881319,0.225926657,0.416116427,1.043275286155710,0.521637643,0.416116427,0.627158859,17338.771415627779788,15577444.594767274335027,5,4
37238.169999999998254,150.700000000000017,"AZ,NM",1.504E+11,Moore Canyon-Gila Wash,1.504E+11,1.329266750944190,-0.850496781,1.259055020387920,-0.121695621,-1.813038483,0.076519739,0.37646307,1.305123453510740,-0.909622708,-0.259113773,0.528022066,0.552653172,0.194436705,0.646873035,0.257205308,0.422402183,0.798865254,0.399432627,0.422402183,0.37646307,61331.170340215925535,142796208.797002434730530,4,4
23344.600000000002183,94.469999999999999,"AZ,NM",1.504E+11,Rainville Wash-Gila River,1.504E+11,1.329266753940070,-1.051411549,0.909920542,-0.535974754,-2.50387515,-0.206380169,0.325827009,1.448835784334120,-0.798521233,-0.260540869,0.893884659,0.700888435,0.564992212,0.604892869,0.355775378,0.44221082,0.76803783,0.384018915,0.44221082,0.325827009,37671.237905984482495,27975421.278006363660097,2,4
39151.639999999999418,158.439999999999998,"AZ,NM",1.504E+11,Woods Canyon-Gila River,1.504E+11,1.329266757300510,-1.038159819,1.416046092736670,-1.535554081,-2.398792616,-0.397029378,0.291702838,1.533979167411740,-0.55779573,-0.270946689,1.066181472715070,0.788692993,0.76191595,0.611828668,0.436943835,0.45852243,0.750225268,0.375112634,0.45852243,0.291702838,17981.010128395369975,8484062.635163607075810,1,5
7919.640000000000327,32.049999999999997,"AZ,NM",1.504E+11,Goat Camp Canyon,1.504E+11,1.329266752372530,-1.159511203,1.367105462765060,-0.723898621,-3.100817027,-0.238062898,0.320156139,1.157303907105360,-1.110072823,-0.317584615,1.074319506202120,0.581057782,0.319642938,0.642913949,0.277619547,0.426504628,0.746660767,0.373330384,0.426504628,0.320156139,14709.928808247879715,10067516.529835710301995,2,4
11050.690000000000509,44.719999999999999,"AZ,NM",1.504E+11,Sanders Wash,1.504E+11,1.329266749179640,-1.324560863,0.806645456,-1.241004856,-2.977576724,-0.539658617,0.266173728,1.254816156021080,-1.480089335,-0.317584615,1.053801194416620,0.719156694,0.578361166,0.642913949,0.256344638,0.422229223,0.688402951,0.344201475,0.422229223,0.266173728,18013.141111992248625,12247412.664858315140009,1,4
14011.670000000000073,56.700000000000003,"AZ,NM",1.504E+11,Bitter Creek,1.504E+11,1.329266753254710,-1.622692139,0.419952191,-0.963422978,-2.240280687,-0.583076809,0.258402335,1.715151538512440,-1.292896268,-0.307949352,1.045107848258050,0.68797717,0.546238877,0.654917966,0.342714091,0.439586025,0.69798836,0.34899418,0.439586025,0.258402335,29312.309464470956300,33447358.888807572424412,1,4
39082.480000000003201,158.159999999999997,"AZ,NM",1.504E+11,Apache Creek,1.504E+11,1.031714109986160,-1.600287741,0.353739027,-0.706791091,-2.465174899,-0.573791817,0.26006425,1.478629708363070,-1.159433632,-0.344828226,1.037490727542520,0.424002286,-0.01720531,0.757456308,0.30560149,0.432127878,0.692192128,0.346096064,0.432127878,0.26006425,50900.151857945980737,87781718.895773813128471,1,4
14489.020000000000437,58.640000000000001,"AZ,NM",1.504E+11,Whitmire Creek,1.504E+11,0.699884842,-0.809020186,1.304701617881560,-0.53312189,-1.452945314,-0.110656117,0.342960592,1.329775335140320,-1.36407216,0.413619743,0.447236358,1.391884538864500,-0.231026256,-0.134028146,0.167917751,0.40445896,0.747419551,0.373709776,0.40445896,0.342960592,47166.911931808244844,57651328.643827728927135,2,4
