AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,MeanCanHei,PctMarWetMeaH12,PctNatSemNatWoo12,PctTreCanBuf,dem_mean,aspect_sh3_mean,geomorph_sh3_std,PctCarbKarstH8,PctVolcKarstH8,hli_mean_rev,sbd250m_100bd_mean_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN,PctChange_Bio19_MEAN,MeanDifSWEH12,MeanJunFloPctCh2040,Back_rcp45_rev,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifPNVH12_rev,StrTemCha2040_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
29455.420000000001892,119.200000000000003,NM,1.108E+11,Turkey Creek Canyon-Cimarron River,1.108E+11,-0.362043558,-0.056657147,0.444882022,0.359389756,-0.091257217,-0.388152163,0.414987243,-0.42405683,-0.602836739,1.224549177173090,-0.541284784,0.000899513,0.178358363,-0.638670111,-0.794922081,0.226162133,-0.97844582,0.128655613,0.142967572,0.980361049,-0.043006015,-0.068252859,0.383886705,0.062498872,0.67388544,0.852243803,0.426121902,0.67388544,0.178358363,69484.537143827095861,119106583.354702666401863,3,3
19318.439999999998690,78.180000000000007,NM,1.108E+11,York Canyon,1.108E+11,-1.089207669,-0.185084632,-1.039820811,0.294727395,0.533925056,-0.083893669,-0.903320299,-0.482886884,-0.560610275,0.45111935,-0.44156223,-0.329520912,0.083221439,-0.069009407,2.039079586441350,-0.31117222,0.345487477,0.289063588,0.548162474,1.495386388174390,0.539728291,0.936621151,0.188917631,0.31421408,0.758733491,0.84195493,0.420977465,0.758733491,0.083221439,54809.835011267794471,78116490.159384489059448,1,4
11472.270000000000437,46.430000000000000,NM,1.30301E+11,Mud Spring Canyon,1.30301E+11,0.936223001,-0.454849381,0.06935154,-0.019492891,0.088676039,0.330684738,-2.235298329,-0.200629213,-0.545037789,0.335518215,0.850834045,-0.38600514,0.066958111,1.383029136464910,0.542588742,0.21330617,0.411140138,0.996558297,-0.539468021,-0.792072307,-1.821425625,1.210311921541460,0.054598892,0.157441704,0.705888728,0.772846839,0.38642342,0.705888728,0.066958111,39670.992966089426773,46468086.059696651995182,1,4
29274.310000000001310,118.469999999999999,NM,1.504E+11,Ash Spring Canyon-Mangas Creek,1.504E+11,-0.967183463,-0.331995652,0.56030896,-1.010151415,-1.505553771,1.777908263198520,-1.494991856,-0.734180399,-0.602836739,-1.316179125,-0.525690495,-0.427582163,0.054986968,1.483838424209010,-0.320674473,0.236432771,0.337150938,0.05614837,-0.824713239,0.587857376,-1.511056604,-0.88529368,0.63380188,0.171143218,0.710507229,0.765494196,0.382747098,0.710507229,0.054986968,72177.277462666694191,118681633.418690249323845,1,4
23355.159999999999854,94.519999999999996,NM,1.504E+11,Lake Roberts-Sapillo Creek,1.504E+11,0.892431455,0.067827092,0.05831057,0.445018254,-0.51503632,0.671537729,-0.842270508,-0.745659554,-0.602836739,-0.718553047,0.142931074,-0.086004356,0.153336403,1.700491311192320,0.279800691,0.442996925,0.33502497,-0.181228779,-0.906377386,-2.417127945,-2.098813281,0.399512218,0.240835649,0.033894777,0.664243585,0.817579987,0.408789994,0.664243585,0.153336403,57198.813779738557059,94642745.161835595965385,3,3
20444.279999999998836,82.739999999999995,NM,1.108E+11,Headwaters North Ponil Creek,1.108E+11,-0.139221689,1.765306644276830,0.778783778,0.535488403,1.184225365184420,-1.494028211,0.681314096,-0.42405683,-0.602836739,1.498028107545820,0.707503353,0.630481032,0.359631811,-0.192666472,0.669939316,-0.207698417,-1.888286834,0.952845912,-0.15419774,0.956613214,-0.079377986,-0.174395736,-0.151696944,-0.117675548,0.613152327,0.972784137,0.486392069,0.613152327,0.359631811,47424.261134501692140,82669238.651085346937180,5,2
15144.880000000001019,61.289999999999999,NM,1.504E+11,Rocky Canyon,1.504E+11,1.371877051145950,-0.254233643,-0.059380627,0.710110373,-0.141460469,0.293152695,-1.105860596,-0.745659554,-0.602836739,-2.081034046,0.038278048,-0.296794423,0.092644275,1.557476688191110,0.340716589,0.430708762,0.274504849,-0.230223481,-0.252964903,-1.692566187,-1.299216638,0.329008652,0.191961981,0.148856058,0.702994683,0.795638957,0.397819479,0.702994683,0.092644275,54883.881829984522483,61363448.149274960160255,2,4
37048.059999999997672,149.930000000000007,NM,1.30301E+11,Seco Creek,1.30301E+11,-0.942624111,-0.454849381,2.099183801398980,-1.441888046,-1.437897347,-0.179248956,0.678959165,-0.200629213,-0.545037789,-0.607360614,0.26532101,-0.19545455,0.121822749,0.159693645,-0.35075746,0.230807304,0.362957644,0.067973006,-0.359397686,-1.097318662,-0.902840018,-2.11611914,0.484224238,-0.047453863,0.636822621,0.75864537,0.379322685,0.636822621,0.121822749,120608.303410036751302,150019805.396152168512344,2,2
30957.909999999999854,125.280000000000001,NM,1.504E+11,Cold Springs Canyon-Tularosa River,1.504E+11,-0.518711841,-0.022444776,-0.799470353,0.088208861,-0.14073485,0.053127854,-0.495703254,-0.74637128,-0.579192356,-1.041345179,0.336469445,-0.252360495,0.105437997,0.870097632,0.447864805,0.076902892,0.359135819,0.452102337,-0.211168913,0.920408928,-0.091296486,0.420838269,0.325650985,0.282380612,0.74800308,0.853441077,0.426720539,0.74800308,0.105437997,84033.112901273110765,125525334.547229558229446,2,4
36786.239999999997963,148.870000000000005,NM,1.504E+11,Lower Bear Creek,1.504E+11,-0.186577827,-0.454849381,0.827250959,-1.083087278,-1.675967491,1.219832724894780,-0.325741627,-0.734180399,-0.602836739,-1.824497236,-0.329970465,-0.320386217,0.085851563,1.298609578662830,-0.212778855,0.26863611,0.316786701,-0.200987276,-0.459410139,0.570281295,-0.986089707,-0.627078343,0.669569602,0.241996726,0.734390498,0.820242061,0.41012103,0.734390498,0.085851563,91974.214234260987723,149133144.999080836772919,1,4
