AREAACRES,AREASQKM,STATES,HUC12,NAME,TOHUC,MeanCanHei,PctMarWetMeaH12,PctTreCanBuf,mean_avwatstr,cti_mean,dem_mean,aspect_sh3_mean,geomorph_sh3_std,PctCarbKarstH8,sbd250m_100bd_mean_rev,hli_mean_rev,HydroSumW,HydroCompositeStd,PctChange_Bio18_MEAN_H8,PctChange_Bio19_MEAN_H8,MeanJunFloPctCh2040,MeanDifSWEH8,Back_rcp45_rev,Diff_bio8_rev,Diff_bio9_rev,Diff_bio5_rev,MeanDifETH8_rev,MacroSumW,MacroCompositeStd,sum_CI,Ave_CI,Macrorefugia,Hydrorefugia,Shape_Length,Shape_Area,HydroQuant,MacroQuant
33079.470000000001164,133.870000000000005,"AZ,NM",150400020707,Upper Railroad Wash,150400020708,-0.474263261760158,-0.282247222171936,-0.747859963902225,-0.828450492529348,0.841630955689634,-1.294402326459210,0.031067388463221,2.600336793769830,-0.706784077125453,-0.258580380787607,-1.082318470067300,0.021668526013988,0.202640826197852,1.810602284381020,-0.272095091162023,0.106583994794222,0.162487278475870,0.131589811315704,0.242185052816318,0.874881536578840,-0.411045211884687,0.726641515238786,0.414435858424468,0.520168514462433,0.722809340660285,0.361404670330142,0.520168514462433,0.202640826197852,55024.978095211488835,124471926.119127467274666,4,5
14489.020000000000437,58.640000000000001,"AZ,NM",150400030501,Whitmire Creek,150400030504,-0.424123250924432,-0.277635504650677,-0.410849037950220,-0.596332441100968,-0.714255558120811,-0.361219969936783,1.472239423632170,-0.781618466584013,-0.695865034930692,-0.314404283153788,-1.493369293871110,-0.411630745274515,0.134621236718922,1.634142000040820,-1.135094017021250,0.163065860504367,0.116310036366272,0.412389841830049,0.275741323767514,1.239939281673170,-0.737635700537580,0.080831134190643,0.189326586287425,0.445090288438026,0.579711525156948,0.289855762578474,0.445090288438026,0.134621236718922,47166.911931808244844,57651328.643827728927135,1,4
26059.150000000001455,105.460000000000008,"AZ,NM",150400030707,Wood Canyon,150400030710,-0.474263261760158,-0.282247222171936,-0.726616672052994,-0.867861529123679,2.314985446509160,-1.195751750328140,-1.807215910788480,-0.966281604639601,-0.695865034930692,-0.739257958523401,-0.729028253736847,-0.502229097433834,0.120399050969523,1.634142000040820,-1.135094017021250,0.123975876416912,0.116310036366272,0.209995976157270,0.275741323767514,1.239939281673170,-0.737635700537580,0.080831134190643,0.173782149190063,0.439905922859750,0.560304973829273,0.280152486914637,0.439905922859750,0.120399050969523,47778.566152917643194,79686035.386773765087128,1,4
41693.330000000001746,168.729999999999990,"AZ,NM",150400030710,Doubtful Canyon,CLOSED BASIN,-0.474263261760158,-0.282247222171936,-0.724118823266061,-0.821826205796663,2.574554657687070,-1.145622890762900,-0.752776576973573,0.630524903165809,-0.695865034930692,-0.769031689660712,-0.606273088637945,-0.209794633654206,0.166305595230792,1.634142000040820,-1.135094017021250,0.118431183991479,0.116310036366272,0.240112617049008,0.275741323767514,1.239939281673170,-0.737635700537580,0.080831134190643,0.174518512107556,0.440151513905516,0.606457109136308,0.303228554568154,0.440151513905516,0.166305595230792,64161.925698410021141,151101035.636758297681808,2,4
27029.069999999999709,109.379999999999995,"AZ,NM",150400060104,Skeleton Canyon,150400060107,1.124652598199420,-0.282247222171936,-0.254633566332758,-0.695503153736657,-1.728753752381190,-0.384129005445995,1.000201800535290,-1.557618684828130,-0.609698875423230,-0.534421177475992,-1.691800038597330,-0.519470665183891,0.117692458925542,1.708849448304750,-1.543742876914080,0.164544103755169,0.126335736908547,0.375676401722983,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.265660352775090,0.470549052171962,0.588241511097504,0.294120755548752,0.470549052171962,0.117692458925542,34058.974788697429176,34409373.050439082086086,1,4
37189.200000000004366,150.500000000000000,"AZ,NM",150400060107,Deer Creek-San Simon Valley,150400060109,-0.269808695173555,-0.282247222171936,-0.529680744718481,-0.748180286291893,-1.354956271970070,-0.480343530372957,0.042440796778667,-0.252112430860944,-0.609698875423230,-0.715021592952972,-2.759904812217120,-0.576177481605635,0.108790587564914,1.708849448304750,-1.543742876914080,0.073737975451867,0.126335736908547,0.422067322436595,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.255378205710578,0.467119760459554,0.575910348024468,0.287955174012234,0.467119760459554,0.108790587564914,48965.185995399602689,60217661.542607642710209,1,4
38949.309999999997672,157.620000000000005,"AZ,NM",150400060109,Post Office Canyon-San Simon Valley,150400060201,-0.474263261760158,-0.282247222171936,-0.638368706072557,-0.426949509617761,-0.099891960459698,-0.910070181399819,-1.229656702391580,0.372811844557957,-0.609698875423230,-0.640453181454575,-2.314708605412280,-0.468569019954197,0.125683030896803,1.708849448304750,-1.543742876914080,-0.003282907907815,0.126335736908547,0.440011820967922,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.245586795932197,0.463854138970665,0.589537169867468,0.294768584933734,0.463854138970665,0.125683030896803,59933.072074412048096,126391550.596921876072884,1,4
35166.700000000004366,142.310000000000002,"AZ,NM",150400060201,Sulphur Draw-San Simon River,150400060203,-0.463599283201618,-0.282247222171936,-0.364406412314675,-0.752089651498875,0.380978568489872,-1.068920148547290,-1.034800196555080,0.669573911225239,-0.609698875423230,-0.806684587948052,-1.743273201040490,-0.391832795779156,0.137729131161473,1.708849448304750,-1.543742876914080,0.051476473221602,0.126335736908547,0.365259808554553,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.249448472235269,0.465142081504363,0.602871212665836,0.301435606332918,0.465142081504363,0.137729131161473,35097.821116889586847,47451068.424517646431923,1,4
37038.720000000001164,149.890000000000015,"AZ,NM",150400060203,Long Canyon-San Simon River,150400060205,-0.386780019473807,-0.282247222171936,-0.746390915907660,-0.466554317548406,0.116686688165267,-1.126887482568430,-0.380280931641256,0.160473940392044,-0.609698875423230,-0.230404785340056,-1.517167120955030,-0.355307418660261,0.143462907610721,1.708849448304750,-1.543742876914080,0.041383217000712,0.126335736908547,0.336623902506658,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.246615977226215,0.464197390517253,0.607660298127974,0.303830149063987,0.464197390517253,0.143462907610721,48904.230742993626336,117584633.918711081147194,1,4
36807.430000000000291,148.950000000000017,"AZ,NM",150400060205,Round Valley-San Simon River,150400060206,-0.455534179584436,-0.282247222171936,-0.728506573841963,-0.521639154213180,-0.003002287290615,-1.213080642187970,-0.480276587157419,0.558978676227034,-0.609698875423230,0.193062823020851,-2.010287077347300,-0.291506008534126,0.153478492709794,1.708849448304750,-1.543742876914080,-0.005731223971986,0.126335736908547,0.262297287645885,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.236361302245637,0.460777261267624,0.614255753977418,0.307127876988709,0.460777261267624,0.153478492709794,45742.015184183510428,77158456.783800363540649,1,4
36033.059999999997672,145.819999999999993,"AZ,NM",150400060206,Wood Canyon-San Simon River,150400060207,-0.472715618546663,-0.282247222171936,-0.748275190351895,-0.668454855097089,-0.181487098033302,-1.231913534977780,0.266952315338620,0.071637957765005,-0.609698875423230,-0.282766392640077,-2.133288920075530,-0.414505275758493,0.134169991133201,1.708849448304750,-1.543742876914080,-0.000652659059416,0.126335736908547,0.184661606867132,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.233184300115293,0.459717670599690,0.593887661732891,0.296943830866445,0.459717670599690,0.134169991133201,35024.366025465213170,51303131.480564288794994,1,4
20253.799999999999272,81.960000000000008,"AZ,NM",150400060207,McGhee Peak-San Simon River,150400060405,-0.474263261760158,-0.282247222171936,-0.746589152934207,-0.725678896935714,-0.737324557635575,-1.162045228141040,0.709106010287586,-0.332841074173226,-0.609698875423230,1.069525618583960,-2.619648514543180,-0.318766146604405,0.149199179257073,1.708849448304750,-1.543742876914080,0.014864298514148,0.126335736908547,0.149753910353533,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.233592293490451,0.459853744154305,0.609052923411378,0.304526461705689,0.459853744154305,0.149199179257073,31551.765524038703006,43550061.222563989460468,1,4
11425.510000000000218,46.240000000000002,"AZ,NM",150400060401,Vanar Wash,150400060402,-0.474263261760158,-0.282247222171936,-0.749189073289106,-0.867637276658827,-1.193812472391600,-0.951393521645812,1.197110037301640,-1.265511512092050,-0.609698875423230,-0.635267070047986,-2.674100792347360,-0.686373819250915,0.091491897847703,1.708849448304750,-1.543742876914080,0.118220049601937,0.126335736908547,0.216650498934307,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.251280399961298,0.465753064262068,0.557244962109771,0.278622481054885,0.465753064262068,0.091491897847703,19506.616948848863103,13309901.120552714914083,1,4
17772.779999999998836,71.920000000000002,"AZ,NM",150400060402,Steins Creek,150400060405,-0.474263261760158,-0.282247222171936,-0.749189073289106,-0.845614778313778,-0.942738138183927,-1.115771999863190,1.454943020090380,-1.043291943321670,-0.609698875423230,0.436353360126170,-2.097931258625200,-0.456578479804135,0.127565313357636,1.708849448304750,-1.543742876914080,0.013962125347747,0.126335736908547,0.116470002728014,0.997798765106610,1.684005494060610,-0.576331997781585,0.088347215917453,0.231802898306269,0.459256946808688,0.586822260166324,0.293411130083162,0.459256946808688,0.127565313357636,29631.343889240913995,28583744.219059571623802,1,4
24727.959999999999127,100.070000000000007,"AZ,NM",150400020704,Horseshoe Wash,150400020707,-0.474263261760158,-0.282247222171936,-0.748752609113703,-0.841069485092467,0.770818554851076,-1.258227204012520,-0.197815214614745,1.000783170749500,-0.706784077125453,-1.134351643382860,-0.725197552299261,-0.313476393332687,0.150029568020288,1.810602284381020,-0.272095091162023,0.097667541973773,0.162487278475870,0.171165587167522,0.242185052816318,0.874881536578840,-0.411045211884687,0.726641515238786,0.415177259343739,0.520415785777662,0.670445353797950,0.335222676898975,0.520415785777662,0.150029568020288,31119.190242745931755,33950049.773537077009678,1,5
26441.720000000001164,107.010000000000005,"AZ,NM",150400020705,Round Mountain Draw,150400020707,-0.474263261760158,-0.282247222171936,-0.747793751009909,-0.960728799039548,0.396477855437975,-1.382788913859620,1.207338364255570,0.707391952560379,-0.706784077125453,-0.501737048600174,-0.993142008214376,-0.244707439512616,0.160824961222374,1.810602284381020,-0.272095091162023,-0.011378836422166,0.162487278475870,0.010157005520140,0.242185052816318,0.874881536578840,-0.411045211884687,0.726641515238786,0.391993831862371,0.512683671538463,0.673508632760837,0.336754316380418,0.512683671538463,0.160824961222374,7061.866459023939569,1758261.404259284958243,2,4
29190.889999999999418,118.129999999999995,NM,150400020607,Corral Canyon,150400020608,2.264596670584260,-0.266343900770353,-0.732720279619047,-0.791568633020522,0.169151506456089,-0.857643384064663,0.845246557787385,0.753217868794221,-0.706784077125453,-0.769975248453199,-1.279617421727370,-0.067157035246705,0.188696934267868,1.810602284381020,-0.272095091162023,0.110023955792819,0.162487278475870,0.584269275979312,0.242185052816318,0.874881536578840,-0.411045211884687,0.726641515238786,0.437547214997198,0.527876591682111,0.716573525949979,0.358286762974990,0.527876591682111,0.188696934267868,72774.378385043804883,118387719.852596521377563,3,5
